id,osmId,osm_type,name,type,capacity,occupancy,duration,resort,latitude,longitude
4724,12510904514,node,,pylon,,,,,46.766904,10.7821355
4725,12510904515,node,,pylon,,,,,46.7646288,10.7822061
4726,12510904516,node,,pylon,,,,,46.7638942,10.7822288
4727,12510904517,node,,pylon,,,,,46.763358,10.7822455
4728,12510904518,node,,pylon,,,,,46.7625594,10.7822702
4729,12510904519,node,,pylon,,,,,46.7621028,10.7822844
4730,12510904520,node,,pylon,,,,,46.7605444,10.7823327
4731,12510904521,node,,pylon,,,,,46.7600471,10.7823481
4732,12510904522,node,,pylon,,,,,46.7591345,10.7823764
4733,12518733625,node,,pylon,,,,,46.8070856,10.4946858
4734,12518733626,node,,pylon,,,,,46.8070285,10.4946779
4735,12518733627,node,,pylon,,,,,46.8067278,10.4946361
4736,12518733628,node,,pylon,,,,,46.8059239,10.4945245
4737,12518733629,node,,pylon,,,,,46.8048401,10.4943741
4738,12518733630,node,,pylon,,,,,46.8039253,10.4942471
4739,12518733631,node,,pylon,,,,,46.8031176,10.494135
4740,12518733632,node,,pylon,,,,,46.8020785,10.4939908
4741,12518733633,node,,pylon,,,,,46.8009908,10.4938398
4742,12518733634,node,,pylon,,,,,46.7998838,10.4936862
4743,12518733635,node,,pylon,,,,,46.7988537,10.4935432
4744,12518733636,node,,pylon,,,,,46.7977641,10.493392
4745,12518733637,node,,pylon,,,,,46.7967916,10.4932571
4746,12518733638,node,,pylon,,,,,46.79583,10.4931236
4747,12524595644,node,,pylon,,,,,46.524381,10.5919925
4748,12524595645,node,,pylon,,,,,46.5238083,10.5987628
4749,12524595646,node,,pylon,,,,,46.5231037,10.607094
4750,12524595647,node,,pylon,,,,,46.5231512,10.6065322
4751,12524595648,node,,pylon,,,,,46.5233621,10.6040387
4752,12524595649,node,,pylon,,,,,46.5235408,10.6019256
4753,12641844282,node,,pylon,,,,,45.8908838,11.1579881
4754,12641844283,node,,pylon,,,,,45.8908033,11.1585185
4755,12641857536,node,,pylon,,,,,45.8874134,11.1792244
4756,12641857537,node,,pylon,,,,,45.8929803,11.1874385
4757,12641857555,node,,pylon,,,,,45.8921796,11.1915442
4758,12641857606,node,,pylon,,,,,45.8775664,11.2002643
4759,12641857607,node,,pylon,,,,,45.8811044,11.1984735
4760,12641857658,node,,pylon,,,,,45.8805749,11.2009387
4761,12641857660,node,,pylon,,,,,45.8759274,11.2052827
4762,12641857673,node,,pylon,,,,,45.8813535,11.1994136
4763,12641857781,node,,pylon,,,,,45.8778317,11.2041478
4764,12641857937,node,,pylon,,,,,45.8820785,11.1955194
4765,12672717748,node,,pylon,,,,,46.3641116,11.5449753
4766,12672717749,node,,pylon,,,,,46.3635977,11.5478008
4767,12672717773,node,,pylon,,,,,46.3644836,11.5430006
4768,12696599855,node,,pylon,,,,,46.7878826,11.9768334
4769,12696599856,node,,pylon,,,,,46.7883603,11.9770895
4770,12697539135,node,,pylon,,,,,46.5712474,11.6753718
4771,12697539136,node,,pylon,,,,,46.5689107,11.6707126
4772,12697539137,node,,pylon,,,,,46.5692897,11.6714685
4773,12697539138,node,,pylon,,,,,46.5698113,11.6725085
4774,12697539139,node,,pylon,,,,,46.5702605,11.6734041
4775,12697539140,node,,pylon,,,,,46.5708859,11.674651
4776,12697539141,node,,pylon,,,,,46.5705723,11.6740258
4777,12750641936,node,,pylon,,,,,46.5525018,11.7641758
4778,12750641937,node,,pylon,,,,,46.5525013,11.7640768
4779,12768742431,node,,pylon,,,,,46.8510722,11.6859309
4780,12768742432,node,,pylon,,,,,46.8504602,11.6858538
4781,12768742433,node,,pylon,,,,,46.8486919,11.6856312
4782,12768742434,node,,pylon,,,,,46.8440271,11.685046
4783,12768742435,node,,pylon,,,,,46.8453538,11.685211
4784,12768742436,node,,pylon,,,,,46.8471457,11.6854366
4785,12821270752,node,,pylon,,,,,46.0086235,10.5118724
4786,12821270753,node,,pylon,,,,,46.0168487,10.512215
4787,12821270754,node,,pylon,,,,,46.020796,10.5124069
4788,12821270755,node,,pylon,,,,,46.024816,10.5126023
4789,12828719675,node,,pylon,,,,,46.4413609,11.6004528
4790,12840745894,node,,pylon,,,,,46.9176346,11.3959417
4791,12900210092,node,,pylon,,,,,46.7039024,12.3592709
4792,12900210093,node,,pylon,,,,,46.7040984,12.359306
4793,12911134061,node,,pylon,,,,,46.8252383,10.7048198
4794,12911134062,node,,pylon,,,,,46.8249905,10.7008002
4795,12911134063,node,,pylon,,,,,46.8249687,10.6938479
4796,12911134064,node,,pylon,,,,,46.8249725,10.6909778
4797,12911134065,node,,pylon,,,,,46.824978,10.689876
4798,13063009476,node,,pylon,,,,,46.2986937,11.0841029
4799,13063009478,node,,pylon,,,,,46.2991148,11.0781911
4800,13063009479,node,,pylon,,,,,46.2994102,11.0742588
4801,13139766311,node,,pylon,,,,,46.635832,11.1011111
4802,13139766325,node,,pylon,,,,,46.6304054,11.1129481
4803,13139766326,node,,pylon,,,,,46.6293942,11.1151539
4804,13139766327,node,,pylon,,,,,46.6290177,11.115975
4805,13150142515,node,,pylon,,,,,46.7327875,11.1018781
4806,13150142516,node,,pylon,,,,,46.732915,11.1015428
4807,13150142518,node,,pylon,,,,,46.7316408,11.1051912
4808,13150142519,node,,pylon,,,,,46.7309943,11.1070755
4809,13150142520,node,,pylon,,,,,46.7297317,11.110755
4810,13150142521,node,,pylon,,,,,46.7284201,11.1145774
4811,13150142522,node,,pylon,,,,,46.727499,11.1172617
4812,13150142523,node,,pylon,,,,,46.7256304,11.1227912
4813,13155990331,node,,pylon,,,,,46.4844112,11.6752083
4814,13240641746,node,,pylon,,,,,46.4340189,11.5520954
4815,13432388625,node,,pylon,,,,,46.4948048,11.7510503
4816,13432388626,node,,pylon,,,,,46.4859253,11.7490662
4817,13484856196,node,,pylon,,,,,46.8288902,11.2106756
4818,13484856197,node,,pylon,,,,,46.8288487,11.210681
4819,13484856198,node,,pylon,,,,,46.8288323,11.2106837
4820,4699599,way,Paolina,chair_lift,2400,4,7.333,,46.4118151,11.6031725
