id,osmId,osm_type,name,difficulty,resort,ref,lit,grooming,latitude,longitude
312,50844776,way,Busa del Vigo,intermediate,,7,no,classic,46.2791476,10.8371475
313,50845485,way,Malghette,intermediate,,10,,,46.2691002,10.8307154
314,50847861,way,Azzurra,easy,,2,,,46.2941967,10.8567342
315,50847863,way,,easy,,,,,46.2887935,10.8469652
316,51046044,way,,intermediate,,,,,46.9526013,12.0631335
317,51046046,way,,intermediate,,,,,46.9523145,12.0633185
318,51046048,way,,easy,,,,,46.9513216,12.0621818
319,51046050,way,,easy,,,,,46.9501553,12.0595109
320,51046052,way,,intermediate,,,,,46.9496811,12.059748
321,51046819,way,,easy,,,,,46.9507077,12.0599381
322,51048441,way,Hexenschuss (K1),advanced,,2a,no,classic,46.9738643,11.9881082
323,51048444,way,Sonnen 2,advanced,,3f,no,classic,46.9879275,11.9852978
324,51182018,way,,easy,,,,,46.3723962,11.5324763
325,51182019,way,Ochsenweide,intermediate,,3,,,46.3825378,11.5262158
326,51529759,way,,easy,,,,,46.5362322,10.9244452
327,51553591,way,Laner,easy,,4,,,46.3697868,11.532236
328,51553592,way,Obereggen,intermediate,,2a,yes,classic,46.3777795,11.5288956
329,51553595,way,,easy,,,,,46.3721024,11.5325151
330,51553597,way,Ochsenweide,intermediate,,3,,,46.3789682,11.5284283
331,51558959,way,Maierl,intermediate,,5,,,46.3650609,11.5393854
332,51646818,way,,easy,7 Skiweg Reiterjoch,,,,46.3619756,11.5340937
333,51646819,way,Absam,intermediate,,6,,,46.3627977,11.5395181
334,51646821,way,Toler,easy,,8,,,46.356091,11.5365013
335,51646823,way,Pala di Santa,intermediate,,20,,classic,46.3473642,11.5259808
336,51646824,way,10 Pampeago,easy,,,,,46.3497991,11.5419917
337,51646826,way,,easy,,,,classic,46.3507207,11.5474531
338,51646827,way,Campo Scuola Latemar,easy,,24,,classic,46.3481186,11.5463353
339,51646828,way,,easy,,25,,classic,46.3494236,11.5481147
340,51980340,way,Martinelli,intermediate,,,,,46.5055294,11.7472439
341,51996434,way,,easy,,28,,,46.5543028,11.9214048
342,51998108,way,Crep de Mont - Boè,easy,,1A,no,classic,46.5325038,11.8729238
343,52007132,way,,easy,,,,,46.4777943,11.8046989
344,52026492,way,Agnello Cengia,intermediate,,28,,,46.3388777,11.5487683
345,52026494,way,Variante Cinque Nazioni,intermediate,,36,,,46.3426499,11.5675596
346,52026495,way,,intermediate,,,,,46.3402974,11.5513389
347,52026499,way,,easy,,,,,46.3426254,11.5499445
348,52037873,way,,easy,,,no,classic,46.4997622,11.7482133
349,52038151,way,Gabia,easy,,,no,classic,46.5006353,11.7465232
350,52038524,way,3-Tre variante Agonistica,intermediate,,11,no,classic,46.4938227,11.7724717
351,52082336,way,Seewiese 2,intermediate,,2C,,,46.7514428,11.9553456
352,52082337,way,Herrnegg,advanced,,,,classic,46.7538809,11.9518851
